src,title,artist,year
https://johndyergallery.com/cdn/shop/files/african-nights-amboseli-maasai-painting-john-dyer-kenya_c0e072d2-164e-4dc6-a74d-88a86508a22c_2048x.jpg,"African Nights, Amboseli, Kenya",John Dyer
https://johndyergallery.com/cdn/shop/products/2394_2048x.jpg,Rare - Spiritual Rebirth,John Dyer
https://johndyergallery.com/cdn/shop/products/john-dyer-painting-new-york-central-park-cycling-bikes_2048x.jpg?v=1669581648,"Cycling around Central Park, New York",John Dyer
https://upload.wikimedia.org/wikipedia/commons/5/52/Edvard_Munch_-_The_Sick_Child_-_MM.M.00052_-_Munch_Museum.jpg,The Sick Child,Edvard Munch,1927
https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Arnold_B%C3%B6cklin_-_Die_Toteninsel_V_%28Museum_der_bildenden_K%C3%BCnste_Leipzig%29.jpg/1920px-Arnold_B%C3%B6cklin_-_Die_Toteninsel_V_%28Museum_der_bildenden_K%C3%BCnste_Leipzig%29.jpg,Isle of the Dead,Arnold Bröcklin,1886
https://image.invaluable.com/housePhotos/abell/88/746788/H0068-L330149544_original.JPG,Woman Gazing at the Sea,George Henry Boughton,1833-1905
https://i.etsystatic.com/9932839/r/il/1b2172/3791118671/il_1140xN.3791118671_zvwd.jpg,Autumn on the Shore of the Lake,Leopold Franz Kowalski,1856–1931
https://upload.wikimedia.org/wikipedia/commons/b/b2/Edvard_Munch_-_Red_and_White_-_Google_Art_Project.jpg,Red and White,Edvard Munch,1899
https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/La_le%C3%A7on_de_piano.jpg/800px-La_le%C3%A7on_de_piano.jpg,La leçon de piano,Marcel Rieder,1862-1942
https://upload.wikimedia.org/wikipedia/commons/f/f7/L%27argenterie.jpg,L'argenterie,Marcel Rieder,1862-1942
https://upload.wikimedia.org/wikipedia/commons/f/fc/Songeuse_devant_la_chemin%C3%A9e.jpg,Jeune femme songeuse,Marcel Rieder,1862-1942
https://upload.wikimedia.org/wikipedia/commons/9/91/Charles_Courtney_Curran_-_Lotus_Lilies.jpg,Lotus Lilies,Charles Courtney Curran,1888
https://upload.wikimedia.org/wikipedia/commons/b/ba/Charles_Courtney_Curran_-_Paris_la_nuit_%281889%29.jpg,Paris at night,Charles Courtney Curran,1889
https://upload.wikimedia.org/wikipedia/commons/5/50/Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project-Adjust.jpg,Judith Slaying Holofernes,Artemisia Gentileschi,1620
https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Paul_Gauguin_056.jpg/1280px-Paul_Gauguin_056.jpg,Tahitian Women on the Beach,Paul Gaugin,1891
https://upload.wikimedia.org/wikipedia/commons/1/1a/Takiyasha_the_Witch_and_the_Skeleton_Spectre.jpg,Triptych of Takiyasha the Witch and the Skeleton Spectre,Utagawa Kuniyoshi,c. 1844
"https://www.helenedelmaire.com/koken/storage/cache/images/000/019/Still-Life-With-Flowers-III-low-res,large.1452345052.jpg",Still Life With Flowers III,Hélène Delmaire,2015
"https://www.helenedelmaire.com/koken/storage/cache/images/000/082/solstice-lowres,large.1504369771.jpg",Solstice,Hélène Delmaire,2017
"https://www.helenedelmaire.com/koken/storage/cache/images/000/061/Medinilla-lowres,medium_large.1485104944.jpg",Medinilla,Hélène Delmaire,2016
"https://www.helenedelmaire.com/koken/storage/cache/images/000/029/still-life-with-flowers-V,medium_large.1452346248.jpg",Still Live With Flowers V,Hélène Delmaire,2015
https://upload.wikimedia.org/wikipedia/commons/c/c3/AA78_by_Zdzislaw_Beksinski_1978.jpg,,Zdzisław Beksiński,1978
https://upload.wikimedia.org/wikipedia/en/6/69/TheNostalgiaoftheInfinite.jpg,La nostalgia dell'infinito,Giorgio de Chirico,1912
https://www.revolvermag.com/wp-content/uploads/2019/03/04/janedoealbumart.jpg,Jane Doe,Jacob Bannon, 2001
https://uploads5.wikiart.org/00301/images/jarik-jongman/dsc01720-72-dpi.jpg,"Facebook data center, Prineville, Oregon",Jarik Jongman,2019
https://uploads8.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calder%C3%B3n-de-rivera/the-broken-column-1944.jpg,The Broken Column,Frida Kahlo, 1944
https://uploads6.wikiart.org/images/ivan-aivazovsky/view-of-tiflis-1868.jpg,View of Tiflis,Ivan Aivazovsky,1868
https://uploads4.wikiart.org/images/albert-anker/kinderbegr-bnis-1863.jpg,Child funeral,Albrecht Anker,1863
https://uploads0.wikiart.org/images/katsushika-hokusai/fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833.jpg,"Fishing by Torchlight in Kai Province, from Oceans of Wisdom", Katsushika Hokusai,c. 1833
https://uploads1.wikiart.org/images/nzante-spee/the-wahdoosee-question-1994.jpg,The Wahdoosee Question,Nzante Spee,1994
https://uploads2.wikiart.org/images/nzante-spee/feeling-at-home-1995.jpg,Feeling at home,Nzante Spee,1995
https://uploads2.wikiart.org/images/vasan-sitthiket/sitting-on-the-mountain-watching-dogs-fighting-2011.jpg,Sitting on the Mountain Watching Dogs Fighting,Vasan Sitthiket,2011
https://uploads8.wikiart.org/00106/images/iran-darroudi-0/iran-darroudi-paintings-az-in-gooneh-rostan.jpg,Growing in thus Way,Iran Darroudi,1972
https://uploads4.wikiart.org/00106/images/iran-darroudi-0/iran-darroudi-paintings-marz-e-sookhtan.JPG,Border of Burning,Iran Darroudi,1968
https://uploads6.wikiart.org/00106/images/iran-darroudi-0/iran-darroudi-paintings-ragha-ye-zamin-ragha-ye-ma.jpg,"Our Veins, The Earth's Veins",Iran Darroudi,1969
https://uploads5.wikiart.org/00298/images/houria-niati/yesterday-torture.jpg,Yesterday Torture,Houria Niati,1985
https://uploads7.wikiart.org/00173/images/marina-pallares/img-20170722-123220050-hdr.jpg!Large.jpg,The soul of Playa del Carmen,Marina Pallares,2017
https://uploads0.wikiart.org/00189/images/v-cih-s-m-dova/24796463-928072097342707-7276434604634666040-n.jpg,Girls from Lankaran,Vajiha Samadova,1961
https://uploads0.wikiart.org/00323/images/harmonia-rosales/birth-of-oshun.jpg,Birth of Oshun,Harmonia Rosales,2017
https://uploads2.wikiart.org/00323/images/harmonia-rosales/i-exist.jpg,I Exist,Harmonia Rosales,2017
https://uploads3.wikiart.org/00323/images/harmonia-rosales/portrait-of-oshun.jpg,Portrait of Oshun,Harmonia Rosales,2019
https://uploads6.wikiart.org/00309/images/kent-monkman/water-walker-2020.jpg,Water Walker,Kent Monkman,2020
https://images3.alphacoders.com/142/142559.jpg,Reki,Yoshitoshi ABe,2002
